epoch_s,elapsed_s,rss_mb,cpu_pct,threads
1778784076,0,72,0,7
1778784080,4,85,0,6
1778784083,7,150,0.3,17
1778784087,11,166,2.7,17
1778784091,15,172,9.3,17
1778784094,18,216,1,19
1778784098,22,216,0,17
1778784102,26,216,0,16
1778784106,30,216,0,15
1778784109,33,216,0,13
1778784113,37,216,0,12
1778784117,41,215,0,6
1778784121,45,215,0,6
1778784124,48,215,0,6
1778784128,52,215,0,6
1778784132,56,215,0,6
1778784135,59,215,0,6
1778784139,63,215,0,6
1778784143,67,215,0,6
1778784147,71,215,0,6
1778784150,74,215,0,6
1778784154,78,215,0,6
1778784158,82,215,0,6
1778784162,86,215,0,6
1778784165,89,215,0,6
1778784169,93,215,0,6
1778784173,97,215,0,6
1778784176,100,215,0,6
1778784180,104,215,0,6
1778784184,108,215,0,6
1778784188,112,215,0,6
1778784191,115,215,0,6
1778784195,119,215,0,6
1778784199,123,215,0,6
1778784203,127,215,0,6
1778784206,130,215,0,6
1778784210,134,215,0,6
1778784214,138,215,0,6
1778784217,141,215,0,6
1778784221,145,215,0,6
1778784225,149,215,0,6
1778784229,153,215,0,6
1778784232,156,215,0,6
1778784236,160,215,0,6
1778784240,164,215,0,6
1778784244,168,215,0,7
1778784247,171,215,0,6
1778784251,175,215,0,6
1778784255,179,215,0,6
1778784259,183,215,0,6
1778784262,186,215,0,6
1778784266,190,215,0,6
1778784270,194,215,0,6
1778784273,197,215,0,6
1778784277,201,215,0,6
1778784281,205,215,0,6
1778784285,209,215,0,6
1778784288,212,215,0,6
1778784292,216,215,0,6
1778784296,220,215,0,6
1778784299,223,215,0,6
1778784303,227,215,0,6
1778784307,231,215,0,6
1778784311,235,215,0,6
1778784314,238,215,0,6
1778784318,242,215,0,6
1778784322,246,215,0,6
1778784326,250,215,0,6
1778784329,253,215,0,6
1778784333,257,215,0,6
1778784337,261,215,0,6
1778784341,265,215,0,6
1778784344,268,215,0,6
1778784348,272,215,0,6
1778784352,276,215,0,6
1778784356,280,215,0,6
1778784359,283,215,0,6
1778784363,287,215,0,6
1778784367,291,215,0,6
1778784370,294,215,0,6
1778784374,298,215,0,6
1778784378,302,215,0,6
1778784382,306,215,0,7
1778784385,309,215,0,6
1778784389,313,215,0.1,6
1778784393,317,215,0,6
1778784397,321,215,0,6
1778784400,324,215,0,6
1778784404,328,215,0,6
1778784408,332,215,0,6
1778784411,335,215,0,6
1778784415,339,215,0,6
1778784419,343,215,0,6
1778784423,347,215,0,6
1778784426,350,215,0,6
1778784430,354,215,0,6
1778784434,358,215,0,6
1778784438,362,215,0,6
1778784441,365,215,0,7
1778784445,369,215,0,6
1778784449,373,215,0,6
1778784452,376,215,0,6
1778784456,380,215,0,6
1778784460,384,215,0,6
1778784464,388,215,0,6
1778784467,391,215,0,6
1778784471,395,215,0,6
1778784475,399,215,0,6
